stratum,path,is_valid,code,distance
positive,00000003_001.png,True,valid,0.178
positive,00000013_003.png,False,outside_training_distribution,0.2953
positive,00000199_001.png,True,valid,0.2243
positive,00001200_000.png,True,valid,0.1557
positive,00001208_001.png,True,valid,0.2232
positive,00001253_001.png,True,valid,0.1556
positive,00001301_017.png,True,valid,0.2644
positive,00001483_004.png,True,valid,0.1275
positive,00001543_001.png,True,valid,0.2255
positive,00001581_000.png,True,valid,0.2211
positive,00001809_005.png,True,valid,0.1762
positive,00001836_067.png,True,valid,0.157
positive,00001837_000.png,True,valid,0.2021
positive,00001909_000.png,True,valid,0.1577
positive,00001931_022.png,True,valid,0.1983
positive,00002104_003.png,True,valid,0.1775
positive,00002129_003.png,True,valid,0.2114
positive,00002224_001.png,True,valid,0.2601
positive,00002245_003.png,True,valid,0.2305
positive,00002358_000.png,True,valid,0.1724
positive,00002457_003.png,False,outside_training_distribution,0.3156
positive,00002509_023.png,True,valid,0.1561
positive,00002574_000.png,True,valid,0.1648
positive,00002704_003.png,False,outside_training_distribution,0.2839
positive,00002803_004.png,True,valid,0.1571
positive,00002860_008.png,True,valid,0.2014
positive,00002896_000.png,False,outside_training_distribution,0.4443
positive,00002982_000.png,True,valid,0.2408
positive,00003028_031.png,True,valid,0.2296
positive,00003071_002.png,True,valid,0.1653
positive,00003095_001.png,True,valid,0.1527
positive,00003123_000.png,True,valid,0.1669
positive,00003224_000.png,True,valid,0.1893
positive,00003240_000.png,True,valid,0.2218
positive,00003393_006.png,True,valid,0.2201
positive,00003413_000.png,False,outside_training_distribution,0.2702
positive,00003423_009.png,True,valid,0.1811
positive,00003475_000.png,True,valid,0.1451
positive,00003482_001.png,True,valid,0.2436
positive,00003512_001.png,True,valid,0.2086
positive,00003637_002.png,True,valid,0.2007
positive,00003834_001.png,True,valid,0.2222
positive,00003934_000.png,True,valid,0.1476
positive,00004342_027.png,True,valid,0.1974
positive,00004382_000.png,True,valid,0.1886
positive,00004458_002.png,True,valid,0.2379
positive,00004578_005.png,True,valid,0.1875
positive,00004605_010.png,False,outside_training_distribution,0.3157
positive,00004608_009.png,True,valid,0.1656
positive,00004925_014.png,True,valid,0.1695
positive,00005066_029.png,True,valid,0.1952
positive,00005365_011.png,True,valid,0.2004
positive,00005376_002.png,True,valid,0.2109
positive,00005403_009.png,True,valid,0.1771
positive,00005435_003.png,True,valid,0.2295
positive,00005567_008.png,True,valid,0.2012
positive,00005577_001.png,True,valid,0.2059
positive,00005679_002.png,True,valid,0.2598
positive,00006151_001.png,True,valid,0.1572
positive,00006318_010.png,True,valid,0.1734
positive,00006365_000.png,True,valid,0.172
positive,00006391_001.png,False,outside_training_distribution,0.3495
positive,00006463_001.png,True,valid,0.2004
positive,00006506_002.png,True,valid,0.1515
positive,00006559_000.png,True,valid,0.2093
positive,00006601_000.png,True,valid,0.1986
positive,00006635_006.png,True,valid,0.2279
positive,00006881_007.png,True,valid,0.1593
positive,00006926_016.png,True,valid,0.1676
positive,00007007_017.png,True,valid,0.2424
